"","Participant","Treatment_Group","DV"
"1","1","Baseline",8.99561529893709
"2","1","MidTreatment",6.81777287705435
"3","1","PostTreatment",4.47600845097194
"4","2","Baseline",10.2630623306546
"5","2","MidTreatment",10.5147512440561
"6","2","PostTreatment",4.86231194396595
"7","3","Baseline",9.84216582036226
"8","3","MidTreatment",6.72414077653771
"9","3","PostTreatment",4.24223288693979
"10","4","Baseline",11.7735696188357
"11","4","MidTreatment",6.77761300943514
"12","4","PostTreatment",10.1639178554487
"13","5","Baseline",10.2339425410217
"14","5","MidTreatment",5.61997135886117
"15","5","PostTreatment",5.25966827469117
"16","6","Baseline",10.6372601752341
"17","6","MidTreatment",6.55641153996061
"18","6","PostTreatment",3.57395003956729
"19","7","Baseline",8.83641863056818
"20","7","MidTreatment",7.36581536718939
"21","7","PostTreatment",6.27598848583899
"22","8","Baseline",11.4290654217831
"23","8","MidTreatment",7.8346465724535
"24","8","PostTreatment",5.40338318323183
"25","9","Baseline",8.34948114827446
"26","9","MidTreatment",9.13080465409109
"27","9","PostTreatment",4.86016610351959
"28","10","Baseline",9.28027573720907
"29","10","MidTreatment",8.94040403468109
"30","10","PostTreatment",4.81502024919451
"31","11","Baseline",10.1797722875551
"32","11","MidTreatment",6.79674152307673
"33","11","PostTreatment",5.89780654622275
"34","12","Baseline",10.1925489205703
"35","12","MidTreatment",9.80640697711641
"36","12","PostTreatment",2.87128865862527
"37","13","Baseline",9.59673209563329
"38","13","MidTreatment",3.44644873541071
"39","13","PostTreatment",2.67516135571555
"40","14","Baseline",11.4796809997569
"41","14","MidTreatment",8.24573478198202
"42","14","PostTreatment",8.29704349340891
"43","15","Baseline",10.2467590021777
"44","15","MidTreatment",5.95543329744598
"45","15","PostTreatment",0.875807961320169
"46","16","Baseline",9.94136658154131
"47","16","MidTreatment",9.6444619113694
"48","16","PostTreatment",5.02549944192994
"49","17","Baseline",9.222291506193
"50","17","MidTreatment",6.27311934631069
"51","17","PostTreatment",2.82494330137915
"52","18","Baseline",11.0217125147398
"53","18","MidTreatment",9.6381314851376
"54","18","PostTreatment",5.54107898640868
"55","19","Baseline",8.17237162926163
"56","19","MidTreatment",7.0875581352886
"57","19","PostTreatment",7.01690374654547
"58","20","Baseline",14.6205936455581
"59","20","MidTreatment",3.24268823598762
"60","20","PostTreatment",0.851190491487112
"61","21","Baseline",9.12382003774536
"62","21","MidTreatment",6.1058756359607
"63","21","PostTreatment",6.79364454357122
"64","22","Baseline",11.5281212328209
"65","22","MidTreatment",3.5228041055842
"66","22","PostTreatment",4.90000846624791
"67","23","Baseline",10.5239225827858
"68","23","MidTreatment",7.3577296972543
"69","23","PostTreatment",2.30930137911326
"70","24","Baseline",11.5468091935569
"71","24","MidTreatment",10.7949314002924
"72","24","PostTreatment",1.13757693130052
"73","25","Baseline",8.37124175024909
"74","25","MidTreatment",2.45614902796141
"75","25","PostTreatment",6.41916316695418
"76","26","Baseline",9.12309886185078
"77","26","MidTreatment",8.96092827746922
"78","26","PostTreatment",4.68418993616738
"79","27","Baseline",8.55955689956785
"80","27","MidTreatment",4.20234876741511
"81","27","PostTreatment",5.43273574541699
"82","28","Baseline",10.4618890645053
"83","28","MidTreatment",10.6497448458872
"84","28","PostTreatment",6.63472415155051
"85","29","Baseline",7.68454107520033
"86","29","MidTreatment",9.76259745985766
"87","29","PostTreatment",8.45435150900649
"88","30","Baseline",10.4941519854576
"89","30","MidTreatment",5.3222962499313
"90","30","PostTreatment",4.79245941507345
