"","Participant","Dosage","DV"
"1","1","LowDose",5.2540349686367
"2","1","MediumDose",6.08530741964182
"3","1","HighDose",8.09089398692693
"4","2","LowDose",5.07958446300337
"5","2","MediumDose",8.42573407691714
"6","2","HighDose",7.56245594593002
"7","3","LowDose",5.05076423801586
"8","3","MediumDose",6.96107863511372
"9","3","HighDose",7.80127212018361
"10","4","LowDose",3.59949539030099
"11","4","MediumDose",6.55399737671402
"12","4","HighDose",7.35807802061182
"13","5","LowDose",3.37345788703322
"14","5","MediumDose",7.44326856628783
"15","5","HighDose",6.61503952321354
"16","6","LowDose",5.34151446519106
"17","6","MediumDose",6.70590859530364
"18","6","HighDose",8.03656233687777
"19","7","LowDose",4.3404660361368
"20","7","MediumDose",5.73608997515305
"21","7","HighDose",8.08569585259413
"22","8","LowDose",4.74839994061781
"23","8","MediumDose",4.86495043997941
"24","8","HighDose",7.62568891648969
"25","9","LowDose",4.71211473540907
"26","9","MediumDose",7.73032853804353
"27","9","HighDose",8.39810844657224
"28","10","LowDose",6.11141169453676
"29","10","MediumDose",7.56848993671976
"30","10","HighDose",8.63928188329782
"31","11","LowDose",4.20611959326004
"32","11","MediumDose",7.31998446102266
"33","11","HighDose",8.08452789937274
"34","12","LowDose",4.4965674635638
"35","12","MediumDose",5.79614518922312
"36","12","HighDose",9.17679441294585
"37","13","LowDose",5.03122178909214
"38","13","MediumDose",7.98260767728378
"39","13","HighDose",7.95964742552479
"40","14","LowDose",6.35785112370944
"41","14","MediumDose",6.41721123714843
"42","14","HighDose",9.00099995574734
"43","15","LowDose",3.96625600000989
"44","15","MediumDose",7.50407583877849
"45","15","HighDose",9.44152832359937
"46","16","LowDose",5.81899555159223
"47","16","MediumDose",7.52279557932795
"48","16","HighDose",8.08066646213211
"49","17","LowDose",5.79565856851059
"50","17","MediumDose",6.47035948811844
"51","17","HighDose",7.9741012598734
"52","18","LowDose",5.63524139281988
"53","18","MediumDose",5.45578143337569
"54","18","HighDose",8.92191319249394
"55","19","LowDose",7.12690705832276
"56","19","MediumDose",5.17265860935565
"57","19","HighDose",8.82975750982546
"58","20","LowDose",4.73924984220942
"59","20","MediumDose",5.94185314188967
"60","20","HighDose",7.52503731879168
"61","21","LowDose",4.01063091907644
"62","21","MediumDose",7.94405514356978
"63","21","HighDose",7.03226286170631
"64","22","LowDose",5.4399781304717
"65","22","MediumDose",6.21004736816567
"66","22","HighDose",9.45955275072379
"67","23","LowDose",4.25948034701823
"68","23","MediumDose",7.01889093982718
"69","23","HighDose",6.25236360477678
"70","24","LowDose",5.08685030854881
"71","24","MediumDose",6.52829974445325
"72","24","HighDose",7.764347267488
"73","25","LowDose",2.68852112204889
"74","25","MediumDose",6.74216554384201
"75","25","HighDose",7.91752969417025
"76","26","LowDose",3.54523224613987
"77","26","MediumDose",6.91414527315631
"78","26","HighDose",6.95715697830683
"79","27","LowDose",5.37435361133355
"80","27","MediumDose",6.84579265353615
"81","27","HighDose",6.91259465584576
"82","28","LowDose",5.25429512419575
"83","28","MediumDose",5.58032745298334
"84","28","HighDose",7.11767971589736
"85","29","LowDose",5.09985186114725
"86","29","MediumDose",7.70601532030511
"87","29","HighDose",8.54865032061129
"88","30","LowDose",4.74816875741741
"89","30","MediumDose",6.46358154317747
"90","30","HighDose",7.69624798589158
