"","Participant","Time","Stress"
"1","1","Rest",43.0580883999276
"2","1","Task",72.7446798989132
"3","1","Recovery",56.8893445307863
"4","2","Rest",61.516685830598
"5","2","Task",73.0782382491064
"6","2","Recovery",56.5721170420279
"7","3","Rest",49.9579219639686
"8","3","Task",75.1949848457899
"9","3","Recovery",55.9545847228496
"10","4","Rest",42.0075276829256
"11","4","Task",69.754636804397
"12","4","Recovery",45.9117062547141
"13","5","Rest",58.078389321985
"14","5","Task",63.3715538016023
"15","5","Recovery",66.8853072039432
"16","6","Rest",40.0034933301341
"17","6","Task",63.2707302580221
"18","6","Recovery",55.0026810763844
"19","7","Rest",53.3556685032549
"20","7","Task",78.982659193334
"21","7","Recovery",54.3013732891218
"22","8","Rest",43.7850813181214
"23","8","Task",76.7360853774408
"24","8","Recovery",58.010445985453
"25","9","Rest",49.3324058145361
"26","9","Task",70.6375714133495
"27","9","Recovery",53.0391880401891
"28","10","Rest",49.4882472758223
"29","10","Task",66.5707948721721
"30","10","Recovery",56.339547658879
"31","11","Rest",51.6774915002426
"32","11","Task",65.9208372938543
"33","11","Recovery",52.8825121220403
"34","12","Rest",44.5321402628771
"35","12","Task",62.0861270834149
"36","12","Recovery",52.433059706134
"37","13","Rest",39.5196760750658
"38","13","Task",65.8920791755848
"39","13","Recovery",52.9346000965319
"40","14","Rest",49.9073854961639
"41","14","Task",72.6660217769002
"42","14","Recovery",55.4478135076831
"43","15","Rest",58.2422133299065
"44","15","Task",72.2890262991278
"45","15","Recovery",58.4265140030842
"46","16","Rest",47.3947067553702
"47","16","Task",84.3189876069928
"48","16","Recovery",67.3065030139514
"49","17","Rest",54.6029911278509
"50","17","Task",71.6046579961723
"51","17","Recovery",60.330527980904
"52","18","Rest",51.1201090761563
"53","18","Task",69.4828461576736
"54","18","Recovery",55.805590997098
"55","19","Rest",42.1608777288087
"56","19","Task",79.2180500864963
"57","19","Recovery",43.2023242329426
"58","20","Rest",39.5855925470526
"59","20","Task",77.0898358292064
"60","20","Recovery",52.9075725461514
"61","21","Rest",51.6012072437231
"62","21","Task",65.3387308601892
"63","21","Recovery",55.7467736088614
"64","22","Rest",47.4215459083168
"65","22","Task",66.2313154322792
"66","22","Recovery",58.4512106571426
"67","23","Rest",50.7403905291816
"68","23","Task",75.9979860511392
"69","23","Recovery",41.3015141320354
"70","24","Rest",49.4267419098632
"71","24","Task",62.0357046662
"72","24","Recovery",50.2744294602081
"73","25","Rest",42.083472214283
"74","25","Task",74.1964793379116
"75","25","Recovery",50.6569425747388
"76","26","Rest",47.1990171226265
"77","26","Task",68.6039112950308
"78","26","Recovery",57.1279096477287
"79","27","Rest",50.0629271413205
"80","27","Task",72.5441107125526
"81","27","Recovery",56.5648847966956
"82","28","Rest",58.8839576458066
"83","28","Task",74.248769345961
"84","28","Recovery",56.6757963447984
"85","29","Rest",50.2329525664497
"86","29","Task",65.5758103695298
"87","29","Recovery",55.5047834620299
"88","30","Rest",48.819887799827
"89","30","Task",71.7467140458259
"90","30","Recovery",49.4193234556689
