student,study_time,study_hours,study_method,exam_score
1,Evening,7.5,Flashcards,82
2,Night,6.6,Flashcards,80
3,Afternoon,8.2,Flashcards,70
4,Evening,5.4,Flashcards,62
5,Morning,4.4,Flashcards,58
6,Morning,4.8,Flashcards,61
7,Evening,2.5,Flashcards,71
8,Night,4.2,Flashcards,66
9,Afternoon,4.9,Flashcards,63
10,Afternoon,5.5,Flashcards,66
11,Afternoon,5.2,Flashcards,73
12,Evening,2.1,Flashcards,62
13,Night,4.3,Flashcards,64
14,Evening,9.8,Flashcards,76
15,Afternoon,7.2,Flashcards,69
16,Morning,10,Flashcards,90
17,Morning,5.4,Flashcards,73
18,Evening,5.8,Flashcards,80
19,Afternoon,5.6,Flashcards,67
20,Evening,3.6,Flashcards,62
21,Night,4.3,Flashcards,61
22,Afternoon,10.1,Flashcards,79
23,Night,4.9,Flashcards,70
24,Evening,8.6,Flashcards,83
25,Evening,3.9,Flashcards,68
26,Afternoon,2.1,Flashcards,63
27,Evening,5.4,Flashcards,75
28,Afternoon,7.9,Flashcards,80
29,Morning,8.3,Flashcards,76
30,Evening,9.3,Flashcards,74
31,Evening,2.4,Practice Tests,71
32,Evening,10.1,Practice Tests,85
33,Night,4.6,Practice Tests,79
34,Morning,6.3,Practice Tests,73
35,Afternoon,7,Practice Tests,71
36,Afternoon,4.4,Practice Tests,73
37,Night,2,Practice Tests,61
38,Evening,5,Practice Tests,75
39,Night,6.2,Practice Tests,66
40,Evening,4.2,Practice Tests,61
41,Morning,4.2,Practice Tests,73
42,Evening,6.7,Practice Tests,77
43,Evening,5.7,Practice Tests,78
44,Evening,6.9,Practice Tests,66
45,Morning,5.9,Practice Tests,80
46,Night,4.2,Practice Tests,76
47,Morning,8.6,Practice Tests,86
48,Evening,7.5,Practice Tests,82
49,Afternoon,8.1,Practice Tests,90
50,Night,3.2,Practice Tests,60
51,Evening,8,Practice Tests,76
52,Evening,2.6,Practice Tests,68
53,Night,4.9,Practice Tests,67
54,Morning,3.3,Practice Tests,68
55,Evening,1.6,Practice Tests,67
56,Night,9.6,Practice Tests,80
57,Night,4.7,Practice Tests,74
58,Morning,5.4,Practice Tests,75
59,Afternoon,5.2,Practice Tests,68
60,Night,6.8,Practice Tests,71
